lpermno,gvkey,datadate,SIC4,FF12,fyear,l1_TA,l1_lnTA,l1_RD_A,l1_ROA,l1_ROE,l1_LEVERAGE,l1_DY,l1_CPNA,l1_CEOAge,l1_CEOChair,l1_CEOTenure,l1_CEOFemale,CEOPay,lnCEOPay
31077,3639,30sep2018,3578,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,1240.6899,7.1234231,.039401773,-.0083881803,-.01625362,.1906487,.0052941176,.054095265,55,0,4,0,4191.3662,15.248537
27888,3643,31dec2018,6020,Finance,2018,29476.701,10.291355,0,.011470025,.11547906,.043548103,.023771791,.18928933,62,1,2,0,4186.7539,15.247437
27909,3647,30apr2019,2211,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2018,202.38986,5.3101959,0,.095773086,.12778498,0,.018612521,.29332051,,,,,,
41080,3650,31dec2018,3510,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,16781.951,9.7280588,.040608574,.055269711,.13762227,.11098202,.023833787,.094923675,54,1,6,0,12381.693,16.33173
18091,3662,31dec2018,3728,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2018,3004.8013,8.007967,.01863474,.066399783,.14065388,.2515631,.0045958147,.17207006,63,1,5,0,5608.4248,15.539781
19828,3708,31dec2018,5812,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,3803.8513,8.2437696,0,.047359515,.33849964,.67230749,.017052375,.052424207,52,0,2,0,3940.3518,15.186781
92570,3734,31dec2018,3714,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",2018,5240.2397,8.5641222,.018072288,.019666903,.10957552,.31874558,.0074976571,.12857428,50,0,3,0,9384.1475,16.054533
49680,3735,31dec2018,3826,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,43311.453,10.676172,.02419794,.052944783,.093701392,.22556089,.0060331826,.013696725,56,0,4,0,13927.643,16.449387
28629,3761,31dec2018,3825,"Business Equipment -- Computers, Software, and Electronic Equipment",2018,28.120329,3.3364928,.22768845,.17991218,.24700816,0,0,1.5784948,,,,,,
80912,3806,31dec2018,1382,"Oil, Gas, and Coal Extraction and Products",2018,153.41721,5.0331612,0,-.18921797,-.22134908,.047598008,0,.3047646,,,,,,
49154,3813,31jan2019,5331,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",2018,36209.09,10.497066,0,.075078845,.25006405,.29711017,.032438181,.072697766,58,1,4,0,15598.69,16.562698
